icon,precipIntensity,apparentTemperature,cloudCover,ozone,visibility,humidity,windBearing,precipType,pressure,windGust,temperature,time,precipAccumulation,windSpeed,uvIndex,precipProbability,summary,dewPoint,city,local_time,demand,region,hour,day_of_week,day_name,month,month_name,year,season,time_of_day,week,anomaly_score,is_anomaly
partly-cloudy-day,0.0006,66.78,0.74,250.1,10.0,0.21,241.0,rain,1024.7,9.23,66.78,2018-12-16 19:00:00,0.0087,5.62,3.0,0.01,Mostly Cloudy,25.68,san antonio,2018-12-16 19:00:00,9286.493568043332,SCEN,19,6,Sunday,12,December,2018,Winter,Evening,50,1,False
clear-day,0.0,55.93,0.06,260.1,10.0,0.43,30.0,rain,1033.3,6.94,55.93,2020-02-21 22:00:00,0.0087,6.69,3.0,0.0,Clear,33.74,san antonio,2020-02-21 22:00:00,6847.0,SCEN,22,4,Friday,2,February,2020,Winter,Night,8,1,False
clear-night,0.0064,71.4,0.2,304.2,9.641,0.93,104.0,rain,1015.3,13.92,70.31,2019-05-15 05:00:00,0.0087,6.43,0.0,0.05,Clear,68.1,san antonio,2019-05-15 05:00:00,6608.794767704105,SCEN,5,2,Wednesday,5,May,2019,Spring,Morning,20,1,False
clear-night,0.0,38.58,0.0,273.3,10.0,0.78,331.0,rain,1019.6,3.62,38.58,2019-12-03 08:00:00,0.0087,0.59,0.0,0.0,Clear,32.24,san antonio,2019-12-03 08:00:00,7701.0,SCEN,8,1,Tuesday,12,December,2019,Winter,Morning,49,1,False
partly-cloudy-day,0.002,93.35,0.7,285.0,10.0,0.56,142.0,rain,1013.6,21.71,88.05,2019-05-24 19:00:00,0.0087,18.77,7.0,0.01,Mostly Cloudy,70.21,san antonio,2019-05-24 19:00:00,9286.493568043332,SCEN,19,4,Friday,5,May,2019,Spring,Evening,21,1,False
cloudy,0.0014,55.47,0.98,280.5,4.253,0.98,39.0,rain,1018.2,6.59,55.47,2020-03-22 11:00:00,0.0087,5.45,0.0,0.04,Overcast,54.9,san antonio,2020-03-22 11:00:00,5493.0,SCEN,11,6,Sunday,3,March,2020,Spring,Morning,12,1,False
partly-cloudy-night,0.0073,79.63,0.6,290.2,10.0,0.87,171.0,rain,1015.6,6.06,78.04,2019-08-21 12:00:00,0.0087,4.07,0.0,0.01,Humid and Mostly Cloudy,73.77,san antonio,2019-08-21 12:00:00,9514.0,SCEN,12,2,Wednesday,8,August,2019,Summer,Afternoon,34,1,False
clear-day,0.0,90.38,0.0,298.8,10.0,0.44,151.0,rain,1009.6,10.05,88.92,2020-05-19 01:00:00,0.0087,7.45,0.0,0.0,Clear,64.14,san antonio,2020-05-19 01:00:00,7126.32712168837,SCEN,1,1,Tuesday,5,May,2020,Spring,Night,21,1,False
cloudy,0.0,70.64,0.99,287.3,6.474,1.0,113.0,rain,1010.2,15.96,69.3,2020-04-03 09:00:00,0.0087,5.9,0.0,0.0,Overcast,69.3,san antonio,2020-04-03 09:00:00,5319.0,SCEN,9,4,Friday,4,April,2020,Spring,Morning,14,1,False
clear-night,0.0,51.35,0.0,293.9,10.0,0.53,316.0,rain,1016.6,23.48,51.35,2020-01-29 07:00:00,0.0087,10.14,0.0,0.0,Clear,34.97,san antonio,2020-01-29 07:00:00,7059.0,SCEN,7,2,Wednesday,1,January,2020,Winter,Morning,5,1,False
clear-night,0.0,56.48,0.0,305.4,10.0,0.91,334.0,rain,1013.0,4.17,56.48,2019-04-09 11:00:00,0.0087,4.17,0.0,0.0,Clear,53.75,san antonio,2019-04-09 11:00:00,8022.797788309636,SCEN,11,1,Tuesday,4,April,2019,Spring,Morning,15,1,False
clear-day,0.0,93.08,0.2,267.3,10.0,0.41,128.0,rain,1010.7,11.34,91.32,2019-10-03 00:00:00,0.0087,8.94,0.0,0.0,Clear,64.36,san antonio,2019-10-03 00:00:00,7928.0,SCEN,0,3,Thursday,10,October,2019,Fall,Night,40,1,False
rain,0.0394,89.82,0.71,279.1,3.928,0.76,305.0,rain,1012.5,8.98,82.86,2019-06-04 20:00:00,0.0087,5.45,7.0,0.65,Rain and Humid,74.61,san antonio,2019-06-04 20:00:00,7815.0,SCEN,20,1,Tuesday,6,June,2019,Summer,Evening,23,-1,True
partly-cloudy-day,0.0,99.81,0.42,294.2,10.0,0.53,167.0,rain,1015.4,10.38,91.74,2019-08-11 17:00:00,0.0087,8.11,7.0,0.0,Humid and Partly Cloudy,72.32,san antonio,2019-08-11 17:00:00,12130.0,SCEN,17,6,Sunday,8,August,2019,Summer,Evening,32,1,False
partly-cloudy-night,0.0009,72.23,0.7,279.9,10.0,0.97,63.0,rain,1018.1,4.62,70.86,2018-09-30 09:00:00,0.0087,3.17,0.0,0.01,Mostly Cloudy,70.11,san antonio,2018-09-30 09:00:00,7759.096140825999,SCEN,9,6,Sunday,9,September,2018,Fall,Morning,39,1,False
clear-day,0.0016,98.46,0.1,275.5,10.0,0.44,138.0,rain,1013.8,14.58,93.48,2019-09-12 23:00:00,0.0087,14.58,1.0,0.01,Clear,68.55,san antonio,2019-09-12 23:00:00,8870.0,SCEN,23,3,Thursday,9,September,2019,Fall,Night,37,1,False
clear-night,0.0,70.06,0.0,309.2,10.0,0.58,151.0,rain,1019.0,23.77,70.06,2020-04-27 05:00:00,0.0087,14.2,0.0,0.0,Clear,54.63,san antonio,2020-04-27 05:00:00,4284.0,SCEN,5,0,Monday,4,April,2020,Spring,Morning,18,1,False
clear-day,0.0007,86.68,0.3,270.9,10.0,0.51,141.0,rain,1015.3,15.15,84.92,2020-03-14 21:00:00,0.0087,12.56,5.0,0.01,Clear,64.98,san antonio,2020-03-14 21:00:00,7067.0,SCEN,21,5,Saturday,3,March,2020,Spring,Night,11,1,False
clear-night,0.0003,72.75,0.12,299.9,10.0,0.93,144.0,rain,1015.6,11.84,71.54,2019-07-01 09:00:00,0.0087,0.82,0.0,0.01,Clear,69.29,san antonio,2019-07-01 09:00:00,6604.0,SCEN,9,0,Monday,7,July,2019,Summer,Morning,27,1,False
clear-night,0.0,70.68,0.0,303.2,10.0,0.59,46.0,rain,1017.2,7.04,70.68,2019-07-25 08:00:00,0.0087,5.1,0.0,0.0,Clear,55.89,san antonio,2019-07-25 08:00:00,5801.0,SCEN,8,3,Thursday,7,July,2019,Summer,Morning,30,1,False
